Planet,Link
HAT-P-2-c,https://eyes.nasa.gov/apps/exo/#/planet/HAT-P-2_c
TOI-199-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-199_c
TOI-199-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-199_b
TOI-199-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-199_b
TOI-4600-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4600_c
TOI-4600-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4600_b
TOI-4201-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4201_b
TOI-1853-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1853_b
LHS-475-b,https://eyes.nasa.gov/apps/exo/#/planet/LHS-475_b
HIP-113103-c,https://eyes.nasa.gov/apps/exo/#/planet/HIP-113103_c
HIP-113103-b,https://eyes.nasa.gov/apps/exo/#/planet/HIP-113103_b
HIP-113103-c,https://eyes.nasa.gov/apps/exo/#/planet/HIP-113103_c
HIP-113103-b,https://eyes.nasa.gov/apps/exo/#/planet/HIP-113103_b
HD-99492-c,https://eyes.nasa.gov/apps/exo/#/planet/HD-99492_c
75-Ceti-c,https://eyes.nasa.gov/apps/exo/#/planet/75-Ceti_c
TOI-332-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-332_b
KMT-2022-BLG-1013L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2022-BLG-1013L_b
KMT-2022-BLG-0371L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2022-BLG-0371L_b
KMT-2021-BLG-2010L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2021-BLG-2010L_b
HIP-29442-d,https://eyes.nasa.gov/apps/exo/#/planet/HIP-29442_d
HIP-29442-d,https://eyes.nasa.gov/apps/exo/#/planet/HIP-29442_d
HD-75302-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-75302_b
HD-73256-c,https://eyes.nasa.gov/apps/exo/#/planet/HD-73256_c
HD-185283-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-185283_b
HD-135625-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-135625_b
HD-108202-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-108202_b
GJ-9404-b,https://eyes.nasa.gov/apps/exo/#/planet/GJ-9404_b
TOI-4860-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4860_b
TOI-4860-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4860_b
TOI-2095-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2095_c
TOI-2095-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2095_b
TOI-198-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-198_b
MWC-758-c,https://eyes.nasa.gov/apps/exo/#/planet/MWC-758_c
HD-36384-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-36384_b
TOI-1052-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1052_c
TOI-1052-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1052_b
TOI-1052-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1052_b
TOI-444-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-444_b
TOI-262-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-262_b
HN-Librae-b,https://eyes.nasa.gov/apps/exo/#/planet/HN-Librae_b
